rep,top_k,mean_mu,median_mu,mean_sigma,median_sigma,mean_EI,median_EI,overlap_with_EI
139,50,-0.035674312444468434,-0.032515086141633856,0.1378472462537635,0.13621022707513197,0.025053171588911422,0.026199299058866934,0.14
140,50,-0.03400945633909127,-0.02592102071632465,0.13755277562919926,0.1378516782772083,0.025095496308227775,0.02354083253371929,0.22
141,50,-0.0363489552013891,-0.025931238435723883,0.1357450147481493,0.13450489837994473,0.024561899836632775,0.026766762796059013,0.1
142,50,-0.03623134404306663,-0.031095213340933556,0.1408745831644782,0.13750132465459058,0.026094213191046923,0.02682965298567646,0.2
143,50,-0.03466466047750103,-0.028051334826973612,0.13509073948020583,0.13594927580565325,0.02412410673743671,0.023192263993524902,0.18
144,50,-0.03330579002894345,-0.02642796112756128,0.137673162204915,0.13728873166368952,0.025542798591466985,0.025981458421742636,0.22
145,50,-0.031061374446425493,-0.025931238435723883,0.13867341194551364,0.13882347939022227,0.02659080807119138,0.02950729248395968,0.22
146,50,-0.036039914746511754,-0.02739373586989641,0.13807029300643592,0.13802994336074342,0.02564125901488409,0.025981458421742636,0.22
147,50,-0.03355034358921919,-0.0303223064297092,0.1400135067041425,0.13953154105975785,0.02630894684197314,0.026062180740014526,0.16
148,50,-0.025426666891347698,-0.023477307039851705,0.1356088266248344,0.13404910005553552,0.02691248592873541,0.030010222080324094,0.26
149,50,-0.030947670207364664,-0.028848513588216742,0.1393722781095325,0.14054052084857338,0.026705213134393054,0.02951726652740431,0.26
150,50,-0.037334478384248145,-0.030210381729812958,0.13652992963993593,0.13494694746773112,0.02418641839096337,0.023015715758672374,0.16
151,50,-0.037958975472546036,-0.026604930426215666,0.1386303039859448,0.13544395256648284,0.025255737674521384,0.02701735178931467,0.2
152,50,-0.029309043402063074,-0.026673587191768433,0.13908374037873822,0.14558645773027795,0.02691795085356864,0.02859219909628736,0.2
153,50,-0.03286977850051114,-0.02653818614127782,0.14049661487416976,0.14079800745230026,0.026938295841271637,0.03048710056209758,0.22
154,50,-0.028233295048356297,-0.027505183351170193,0.13590616088525545,0.13304975898464771,0.02611113789353519,0.02802723386506408,0.2
155,50,-0.03667922158199543,-0.031100116941533994,0.1398411801620762,0.13946809927094392,0.025383723844137118,0.02608506332587107,0.2
156,50,-0.038178297270675794,-0.028869637034929847,0.1391022264111157,0.13574619964504475,0.02527564112403481,0.025870370918821942,0.2
157,50,-0.034371565053703736,-0.028844638597735707,0.13707448482488613,0.1370479215537863,0.024935775588504426,0.025256858003429975,0.22
158,50,-0.02855722520173023,-0.025896555723948028,0.14184708450573702,0.14079800745230026,0.027784208106370435,0.02844395567485209,0.16
